# Grammar repo health for every parser in nvim-treesitter parsers.lua.
# Collected 2026-08-10 via: gh api repos/<slug>
# days_since_push is clamped at 0; see ROADMAP.md section 3.
parser	slug	days_since_push	stars	open_issues	archived
bpftrace	sgruszka/tree-sitter-bpftrace	0	0	0	false
fsharp	ionide/tree-sitter-fsharp	0	95	8	false
koto	koto-lang/tree-sitter-koto	0	6	0	false
scala	tree-sitter/tree-sitter-scala	0	196	17	false
superhtml	kristoff-it/superhtml	0	1359	26	false
vhdl	jpt13653903/tree-sitter-vhdl	0	24	2	false
ziggy_schema	kristoff-it/ziggy	0	581	22	false
gnuplot	dpezto/tree-sitter-gnuplot	0	5	4	false
proto	coder3101/tree-sitter-proto	0	15	1	false
slint	slint-ui/tree-sitter-slint	0	7	0	false
sourcepawn	nilshelmig/tree-sitter-sourcepawn	0	16	7	false
swift	alex-pinkus/tree-sitter-swift	0	217	30	false
templ	vrischmann/tree-sitter-templ	0	99	11	false
mlir	artagnon/tree-sitter-mlir	1	19	3	false
nix	nix-community/tree-sitter-nix	1	239	31	false
robot	Hubro/tree-sitter-robot	1	20	1	false
caddy	opa-oz/tree-sitter-caddy	2	10	3	false
liquidsoap	savonet/tree-sitter-liquidsoap	2	2	1	false
luadoc	tree-sitter-grammars/tree-sitter-luadoc	2	21	3	false
nginx	opa-oz/tree-sitter-nginx	2	4	3	false
twig	gbprod/tree-sitter-twig	2	43	5	false
tcl	tree-sitter-grammars/tree-sitter-tcl	4	24	10	false
rst	stsewd/tree-sitter-rst	5	56	29	false
nim	alaviss/tree-sitter-nim	6	61	7	false
kotlin	fwcd/tree-sitter-kotlin	7	189	6	false
ocaml_interface	tree-sitter/tree-sitter-ocaml	7	102	3	false
usd	ColinKennedy/tree-sitter-usd	7	32	0	false
javadoc	rmuir/tree-sitter-javadoc	8	3	1	false
latex	latex-lsp/tree-sitter-latex	8	174	40	false
wit	bytecodealliance/tree-sitter-wit	8	23	5	false
ada	briot/tree-sitter-ada	9	27	0	false
erlang	WhatsApp/tree-sitter-erlang	9	97	1	false
nickel	nickel-lang/tree-sitter-nickel	9	15	2	false
meson	tree-sitter-grammars/tree-sitter-meson	11	11	7	false
qmldir	tree-sitter-grammars/tree-sitter-qmldir	11	3	3	false
diff	tree-sitter-grammars/tree-sitter-diff	12	70	2	false
nu	nushell/tree-sitter-nu	12	176	21	false
razor	tris203/tree-sitter-razor	12	19	10	false
beancount	polarmutex/tree-sitter-beancount	14	54	7	false
ssh_config	tree-sitter-grammars/tree-sitter-ssh-config	16	13	0	false
scfg	rockorager/tree-sitter-scfg	19	1	0	false
c	tree-sitter/tree-sitter-c	20	386	77	false
c_sharp	tree-sitter/tree-sitter-c-sharp	20	315	34	false
elixir	elixir-lang/tree-sitter-elixir	20	282	2	false
elm	elm-tooling/tree-sitter-elm	20	88	4	false
git_config	the-mikedavis/tree-sitter-git-config	20	9	0	false
idl	cathaysia/tree-sitter-idl	20	6	0	false
php_only	tree-sitter/tree-sitter-php	20	230	1	false
systemverilog	gmlarumbe/tree-sitter-systemverilog	20	57	6	false
inko	inko-lang/tree-sitter-inko	21	3	0	false
kitty	OXY2DEV/tree-sitter-kitty	21	36	0	false
markdown_inline	tree-sitter-grammars/tree-sitter-markdown	21	615	68	false
zsh	georgeharker/tree-sitter-zsh	21	55	12	false
gleam	gleam-lang/tree-sitter-gleam	25	104	0	false
pkl	apple/tree-sitter-pkl	26	51	7	false
gdscript	PrestonKnopp/tree-sitter-gdscript	27	112	8	false
rescript	rescript-lang/tree-sitter-rescript	27	62	11	false
julia	tree-sitter-grammars/tree-sitter-julia	28	0	0	false
query	tree-sitter-grammars/tree-sitter-query	28	80	1	false
vim	tree-sitter-grammars/tree-sitter-vim	28	39	10	false
faust	khiner/tree-sitter-faust	29	11	0	false
ql	tree-sitter/tree-sitter-ql	29	36	0	false
qmljs	yuja/tree-sitter-qmljs	29	34	2	false
rego	FallenAngel97/tree-sitter-rego	29	12	6	false
desktop	ValdezFOmar/tree-sitter-desktop	30	3	0	false
editorconfig	ValdezFOmar/tree-sitter-editorconfig	30	10	0	false
enforce	simonvic/tree-sitter-enforce	30	8	6	false
powershell	airbus-cert/tree-sitter-powershell	30	82	15	false
xresources	ValdezFOmar/tree-sitter-xresources	30	1	0	false
cmake	uyha/tree-sitter-cmake	32	59	3	false
tact	tact-lang/tree-sitter-tact	32	19	0	false
dart	UserNobody14/tree-sitter-dart	33	107	18	false
glimmer	ember-tooling/tree-sitter-glimmer	34	25	8	false
racket	6cdh/tree-sitter-racket	36	36	0	false
jinja_inline	cathaysia/tree-sitter-jinja	38	14	0	false
roc	faldor20/tree-sitter-roc	38	57	4	false
perl	tree-sitter-perl/tree-sitter-perl	39	61	5	false
gap	gap-system/tree-sitter-gap	42	8	1	false
matlab	acristoffers/tree-sitter-matlab	45	43	3	false
strace	sigmaSd/tree-sitter-strace	46	5	1	false
forth	AlexanderBrevig/tree-sitter-forth	48	7	0	false
r	r-lib/tree-sitter-r	48	151	12	false
vimdoc	neovim/tree-sitter-vimdoc	48	152	17	false
v	vlang/v-analyzer	50	206	15	false
d	gdamore/tree-sitter-d	51	64	5	false
lua	tree-sitter-grammars/tree-sitter-lua	51	103	9	false
t32	xasc/tree-sitter-t32	53	2	0	false
haskell	tree-sitter-grammars/tree-sitter-haskell	58	2	0	false
pod	tree-sitter-perl/tree-sitter-pod	70	9	1	false
c3	c3lang/tree-sitter-c3	74	64	6	false
git_rebase	the-mikedavis/tree-sitter-git-rebase	76	21	0	false
yaml	tree-sitter-grammars/tree-sitter-yaml	79	56	14	false
m68k	grahambates/tree-sitter-m68k	80	16	2	false
fortran	stadelmanma/tree-sitter-fortran	81	53	11	false
htmldjango	interdependence/tree-sitter-htmldjango	84	32	2	false
ispc	tree-sitter-grammars/tree-sitter-ispc	84	3	0	false
kos	kos-lang/tree-sitter-kos	84	1	0	false
sosl	aheber/tree-sitter-sfapex	85	92	11	false
angular	dlvandenberg/tree-sitter-angular	86	63	4	false
glimmer_javascript	NullVoxPopuli/tree-sitter-glimmer-javascript	87	2	1	false
gitcommit	gbprod/tree-sitter-gitcommit	88	88	11	false
snakemake	osthomas/tree-sitter-snakemake	89	12	1	false
json5	Joakker/tree-sitter-json5	96	22	0	false
devicetree	joelspadin/tree-sitter-devicetree	99	42	2	false
requirements	tree-sitter-grammars/tree-sitter-requirements	101	10	1	false
blade	EmranMR/tree-sitter-blade	104	263	9	false
djot	treeman/tree-sitter-djot	104	49	0	true
arduino	tree-sitter-grammars/tree-sitter-arduino	105	7	3	false
kcl	kcl-lang/tree-sitter-kcl	114	8	2	false
fish	ram02z/tree-sitter-fish	115	50	10	false
slim	theoo/tree-sitter-slim	116	4	0	false
cue	eonpatapon/tree-sitter-cue	117	38	4	false
groovy	murtaza64/tree-sitter-groovy	120	25	12	false
yuck	tree-sitter-grammars/tree-sitter-yuck	128	6	1	false
jjdescription	ribru17/tree-sitter-jjdescription	129	4	2	false
liquid	hankthetank27/tree-sitter-liquid	129	15	1	false
gren	MaeBrooks/tree-sitter-gren	131	10	1	false
janet_simple	sogaiu/tree-sitter-janet-simple	133	18	1	false
rust	tree-sitter/tree-sitter-rust	135	522	50	false
just	IndianBoy42/tree-sitter-just	137	194	15	false
supercollider	madskjeldgaard/tree-sitter-supercollider	138	58	11	false
heex	connorlay/tree-sitter-heex	139	75	6	false
typoscript	Teddytrombone/tree-sitter-typoscript	139	8	1	false
helm	ngalaiko/tree-sitter-go-template	141	140	12	false
ledger	cbarrete/tree-sitter-ledger	142	57	5	false
scheme	6cdh/tree-sitter-scheme	145	49	5	false
hyprlang	tree-sitter-grammars/tree-sitter-hyprlang	150	160	1	false
ruby	tree-sitter/tree-sitter-ruby	152	230	39	false
sql	derekstride/tree-sitter-sql	160	242	24	false
unison	kylegoetz/tree-sitter-unison	161	12	23	false
go	tree-sitter/tree-sitter-go	162	415	17	false
make	tree-sitter-grammars/tree-sitter-make	164	16	3	false
cpp	tree-sitter/tree-sitter-cpp	165	445	74	false
vento	ventojs/tree-sitter-vento	167	4	0	false
glimmer_typescript	NullVoxPopuli/tree-sitter-glimmer-typescript	172	2	2	false
tlaplus	tlaplus-community/tree-sitter-tlaplus	173	76	10	false
solidity	JoranHonig/tree-sitter-solidity	179	186	5	false
vue	tree-sitter-grammars/tree-sitter-vue	197	25	6	false
rifleconf	purarue/tree-sitter-rifleconf	198	2	0	false
fennel	alexmozaidze/tree-sitter-fennel	200	20	4	false
xml	tree-sitter-grammars/tree-sitter-xml	200	52	3	false
lalrpop	traxys/tree-sitter-lalrpop	203	17	0	false
hcl	tree-sitter-grammars/tree-sitter-hcl	204	145	8	false
terraform	MichaHoffmann/tree-sitter-hcl	204	145	8	false
phpdoc	claytonrcarter/tree-sitter-phpdoc	212	34	4	false
robots_txt	opa-oz/tree-sitter-robots-txt	219	3	0	false
typespec	happenslol/tree-sitter-typespec	220	14	0	false
pascal	Isopod/tree-sitter-pascal	229	78	8	false
comment	stsewd/tree-sitter-comment	236	169	11	false
java	tree-sitter/tree-sitter-java	237	272	22	false
chatito	tree-sitter-grammars/tree-sitter-chatito	238	1	2	false
gitattributes	tree-sitter-grammars/tree-sitter-gitattributes	238	20	2	false
gpg	tree-sitter-grammars/tree-sitter-gpg-config	238	4	1	false
llvm	benwilliamgraham/tree-sitter-llvm	238	25	3	false
pem	tree-sitter-grammars/tree-sitter-pem	238	3	1	false
poe_filter	tree-sitter-grammars/tree-sitter-poe-filter	238	4	3	false
snl	minijackson/tree-sitter-snl	238	0	3	false
tera	uncenter/tree-sitter-tera	238	25	4	false
ini	justinmk/tree-sitter-ini	244	35	6	false
brightscript	ajdelcimmuto/tree-sitter-brightscript	246	7	3	false
bash	tree-sitter/tree-sitter-bash	250	324	76	false
cylc	elliotfontaine/tree-sitter-cylc	258	4	4	false
html	tree-sitter/tree-sitter-html	258	212	26	false
javascript	tree-sitter/tree-sitter-javascript	258	487	26	false
json	tree-sitter/tree-sitter-json	258	204	8	false
vhs	charmbracelet/tree-sitter-vhs	258	119	5	false
cuda	tree-sitter-grammars/tree-sitter-cuda	259	36	5	false
gdshader	airblast-dev/tree-sitter-gdshader	259	3	0	false
readline	tree-sitter-grammars/tree-sitter-readline	259	2	0	false
wgsl_bevy	tree-sitter-grammars/tree-sitter-wgsl-bevy	259	12	4	false
ocamllex	atom-ocaml/tree-sitter-ocamllex	267	7	1	false
sway	FuelLabs/tree-sitter-sway	267	14	5	false
rbs	joker1007/tree-sitter-rbs	269	15	0	false
tsv	tree-sitter-grammars/tree-sitter-csv	269	12	3	false
asm	RubixDev/tree-sitter-asm	274	55	14	false
hack	slackhq/tree-sitter-hack	279	35	12	true
earthfile	glehmann/tree-sitter-earthfile	286	11	3	false
gomod	camdencheek/tree-sitter-go-mod	290	65	3	false
dot	rydesun/tree-sitter-dot	292	22	0	false
sparql	GordianDziwis/tree-sitter-sparql	298	16	3	false
hare	tree-sitter-grammars/tree-sitter-hare	306	13	4	false
prisma	victorhqc/tree-sitter-prisma	310	25	0	false
css	tree-sitter/tree-sitter-css	315	139	19	false
godot_resource	PrestonKnopp/tree-sitter-godot-resource	316	21	0	false
slang	tree-sitter-grammars/tree-sitter-slang	317	7	3	false
awk	Beaglefoot/tree-sitter-awk	319	26	4	false
http	rest-nvim/tree-sitter-http	319	64	5	false
python	tree-sitter/tree-sitter-python	328	559	37	false
hurl	pfeiferj/tree-sitter-hurl	330	31	4	false
jsdoc	tree-sitter/tree-sitter-jsdoc	330	51	6	false
regex	tree-sitter/tree-sitter-regex	330	107	0	false
foam	FoamScience/tree-sitter-foam	331	16	0	false
authzed	mleonidas/tree-sitter-authzed	332	12	3	false
zig	tree-sitter-grammars/tree-sitter-zig	333	41	22	false
embedded_template	tree-sitter/tree-sitter-embedded-template	343	82	9	false
agda	tree-sitter/tree-sitter-agda	344	47	8	false
typescript	tree-sitter/tree-sitter-typescript	345	528	48	false
clojure	sogaiu/tree-sitter-clojure	348	191	6	false
wxml	BlockLune/tree-sitter-wxml	353	0	0	false
sproto	hanxi/tree-sitter-sproto	362	1	1	false
dockerfile	camdencheek/tree-sitter-dockerfile	368	105	24	false
pymanifest	tree-sitter-grammars/tree-sitter-pymanifest	386	2	0	false
groq	ajrussellaudio/tree-sitter-groq	387	0	0	false
udev	tree-sitter-grammars/tree-sitter-udev	387	6	0	false
xcompose	tree-sitter-grammars/tree-sitter-xcompose	388	3	0	false
printf	tree-sitter-grammars/tree-sitter-printf	389	8	2	false
properties	tree-sitter-grammars/tree-sitter-properties	391	7	3	false
gosum	tree-sitter-grammars/tree-sitter-go-sum	395	10	0	false
toml	tree-sitter-grammars/tree-sitter-toml	395	17	5	false
bicep	tree-sitter-grammars/tree-sitter-bicep	409	10	5	false
hlsl	tree-sitter-grammars/tree-sitter-hlsl	412	14	3	false
purescript	postsolar/tree-sitter-purescript	418	23	7	false
svelte	tree-sitter-grammars/tree-sitter-svelte	421	23	10	false
doxygen	tree-sitter-grammars/tree-sitter-doxygen	426	17	7	false
bitbake	tree-sitter-grammars/tree-sitter-bitbake	430	14	7	false
kdl	tree-sitter-grammars/tree-sitter-kdl	430	46	7	false
starlark	tree-sitter-grammars/tree-sitter-starlark	440	24	3	false
objc	tree-sitter-grammars/tree-sitter-objc	442	39	4	false
odin	tree-sitter-grammars/tree-sitter-odin	442	40	13	false
glsl	tree-sitter-grammars/tree-sitter-glsl	450	50	5	false
commonlisp	tree-sitter-grammars/tree-sitter-commonlisp	451	64	12	false
jq	flurie/tree-sitter-jq	452	35	6	false
teal	euclidianAce/tree-sitter-teal	452	48	6	false
smithy	indoorvivants/tree-sitter-smithy	453	22	5	false
ungrammar	tree-sitter-grammars/tree-sitter-ungrammar	461	5	1	false
